Product ID,Product Name,Marketing Status,Board Form Factor,RAID Level Supported,# of Ports Internal,# of Ports External,Cache Memory
91066,Intel® Integrated RAID Module RMS3AC160,Discontinued,Mezzanine Module,"0, 1, 10, 5, 50, 6, 60",16,0,2GB
97264,Intel® RAID Controller RS3UC080J,Discontinued,MD2 low profile,None,8,0,
82030,Intel® Integrated RAID Module RMS3CC040,Discontinued,Storage Connector Module,"0, 1, 10, 5, 50, 6, 60",4,,1GB
82029,Intel® Integrated RAID Module RMS3CC080,Discontinued,Storage Connector Module,"0, 1, 10, 5, 50, 6, 60",8,,1GB
81863,Intel® Integrated RAID Module RMS3HC080,Discontinued,Mezzanine Module,"0, 1, 10, 5, 50",8,,
81864,Intel® Integrated RAID Module RMS3JC080,Discontinued,Mezzanine Module,"0, 1, 1E, 10",8,,
81146,Intel® RAID Controller RS3MC044,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",4,4,1GB
81147,Intel® RAID Controller RS3SC008,Discontinued,MD2 low profile,"0, 1, 10, 5, 50, 6, 60",0,8,1GB
77347,Intel® RAID Controller RS3DC040,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",4,0,1GB
77346,Intel® RAID Controller RS3DC080,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",8,0,1GB
77345,Intel® RAID Controller RS3WC080,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50",8,0,
76065,Intel® RAID Controller RS3GC008,Discontinued,Low Profile MD2 Card,JBOD,0,8,
76067,Intel® RAID Controller RS3FC044,Discontinued,Low Profile MD2 Card,"0, 1, 1E, 10",4,4,
76066,Intel® RAID Controller RS3UC080,Discontinued,Low Profile MD2 Card,"0, 1, 1E, 10",8,0,
70025,Intel® RAID SSD Cache Controller RCS25ZB040,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",4,0,1GB DDR3 and 256GB Flash
70029,Intel® RAID SSD Cache Controller RCS25ZB040LX,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",4,0,1GB DDR3 and 1TB Flash
60278,Intel® RAID Controller RS25FB044,Discontinued,Low Profile MD2 Card,"0, 1, 1E, 10",4,4,None
55792,Intel® RAID Controller RS2VB040,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",4,,512MB
55791,Intel® RAID Controller RS2VB080,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",8,,512MB
65856,Intel® RAID Controller RS25AB080,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",8,0,1GB
60279,Intel® RAID Controller RS25SB008,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",0,8,1GB
59673,Intel® RAID Controller RS25GB008,Discontinued,Low Profile MD2 Card,JBOD,0,8,None
59674,Intel® RAID Controller RS25NB008,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",0,8,1GB
55793,Intel® RAID Controller RS25DB080,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",8,0,1GB
54160,Intel® RAID Controller RT3WB080,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",8,0,256MB
42875,Intel® RAID Controller RS2BL040,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",4,0,512MB
42874,Intel® RAID Controller RS2BL080,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",8,0,512MB
47614,Intel® RAID Controller RS2MB044,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",4,4,512MB
42876,Intel® RAID Controller RS2PI008,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50, 6, 60",0,8,512MB
48489,Intel® RAID Controller RS2SG244,Discontinued,Full Height 1/2 Length PCIe Card,"0, 1, 10, 5, 50, 6, 60",24,4,512MB
43165,Intel® RAID Controller RS2WC040,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50",4,0,None
43164,Intel® RAID Controller RS2WC080,Discontinued,Low Profile MD2 Card,"0, 1, 10, 5, 50",8,0,None
48488,Intel® RAID Controller RS2WG160,Discontinued,Full Height 1/2 Length PCIe Card,"0, 1, 10, 5, 50, 6, 60",16,0,512MB
