source,managerCik,managerAddress,managerName,reportCalendarOrQuarter,cusip6,cusip,companyName,value,shares
https://sec.gov/Archives/edgar/data/1434323/0001434323-23-000003.txt,1434323,"100 SOUTH FIFTH STREET, SUITE 420, MINNEAPOLIS, MN, 55402","Palisade Asset Management, LLC",2023-06-30,654106,654106103,Nike Inc,4620309000.0,41862
https://sec.gov/Archives/edgar/data/1434819/0001434819-23-000008.txt,1434819,"Gustav Mahlerplein 3, 1082 MS, Amsterdam, P7, 00000",APG Asset Management N.V.,2023-06-30,31428X,31428X106,FEDEX CORP,78150532000.0,343938
https://sec.gov/Archives/edgar/data/1434819/0001434819-23-000008.txt,1434819,"Gustav Mahlerplein 3, 1082 MS, Amsterdam, P7, 00000",APG Asset Management N.V.,2023-06-30,64110D,64110D104,NETAPP INC,26127259000.0,373100
https://sec.gov/Archives/edgar/data/1434819/0001434819-23-000008.txt,1434819,"Gustav Mahlerplein 3, 1082 MS, Amsterdam, P7, 00000",APG Asset Management N.V.,2023-06-30,65249B,65249B109,NEWS CORP NEW,256664000.0,14360
https://sec.gov/Archives/edgar/data/1434819/0001434819-23-000008.txt,1434819,"Gustav Mahlerplein 3, 1082 MS, Amsterdam, P7, 00000",APG Asset Management N.V.,2023-06-30,654106,654106103,NIKE INC,212425730000.0,2099814
https://sec.gov/Archives/edgar/data/1434819/0001434819-23-000008.txt,1434819,"Gustav Mahlerplein 3, 1082 MS, Amsterdam, P7, 00000",APG Asset Management N.V.,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,75017595000.0,320317
https://sec.gov/Archives/edgar/data/1434819/0001434819-23-000008.txt,1434819,"Gustav Mahlerplein 3, 1082 MS, Amsterdam, P7, 00000",APG Asset Management N.V.,2023-06-30,958102,958102105,WESTERN DIGITAL CORP.,9732469000.0,279940
https://sec.gov/Archives/edgar/data/1438574/0001438574-23-000004.txt,1438574,"4510 BELLEVIEW AVE, SUITE 204, KANSAS CITY, MO, 66209","Sterneck Capital Management, LLC",2023-06-30,31428X,31428X106,FEDEX CORP,721389000.0,2910
https://sec.gov/Archives/edgar/data/1438848/0001172661-23-002642.txt,1438848,"Hardstrasse 201, Zurich, V8, 8037",GAM Holding AG,2023-06-30,31428X,31428X106,FEDEX CORP,9890357000.0,39897
https://sec.gov/Archives/edgar/data/1438848/0001172661-23-002642.txt,1438848,"Hardstrasse 201, Zurich, V8, 8037",GAM Holding AG,2023-06-30,654106,654106103,NIKE INC,31568196000.0,286022
https://sec.gov/Archives/edgar/data/1439207/0001754960-23-000173.txt,1439207,"263 2ND AVENUE, SUITE 106B, PO BOX 952, NIWOT, CO, 80544","Green Alpha Advisors, LLC",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,1280616000.0,5012
https://sec.gov/Archives/edgar/data/1439743/0001085146-23-002622.txt,1439743,"1111 Civic Drive, Suite 333, Walnut Creek, CA, 94596",Mechanics Bank Trust Department,2023-06-30,654106,654106103,NIKE INC,1990412000.0,18034
https://sec.gov/Archives/edgar/data/1439743/0001085146-23-002622.txt,1439743,"1111 Civic Drive, Suite 333, Walnut Creek, CA, 94596",Mechanics Bank Trust Department,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,743278000.0,2909
https://sec.gov/Archives/edgar/data/1439805/0001439805-23-000006.txt,1439805,"45 EAST PUTNAM AVENUE STE 128, GREENWICH, CT, 06830",Greenwich Wealth Management LLC,2023-06-30,958102,958102105,WESTERN DIGITAL CORP,1537000.0,40532
https://sec.gov/Archives/edgar/data/1441689/0000950123-23-007315.txt,1441689,"17F 18F 19F STATE TOWER NAMSAN, 100 TOEGYE-RO, JUNG-GU, SEOUL, M5, 04631",Korea Investment CORP,2023-06-30,31428X,31428X106,FEDEX CORP,29566537000.0,119268
https://sec.gov/Archives/edgar/data/1441689/0000950123-23-007315.txt,1441689,"17F 18F 19F STATE TOWER NAMSAN, 100 TOEGYE-RO, JUNG-GU, SEOUL, M5, 04631",Korea Investment CORP,2023-06-30,64110D,64110D104,NETAPP INC,3022308000.0,39559
https://sec.gov/Archives/edgar/data/1441689/0000950123-23-007315.txt,1441689,"17F 18F 19F STATE TOWER NAMSAN, 100 TOEGYE-RO, JUNG-GU, SEOUL, M5, 04631",Korea Investment CORP,2023-06-30,65249B,65249B109,NEWS CORP NEW,2519576000.0,129209
https://sec.gov/Archives/edgar/data/1441689/0000950123-23-007315.txt,1441689,"17F 18F 19F STATE TOWER NAMSAN, 100 TOEGYE-RO, JUNG-GU, SEOUL, M5, 04631",Korea Investment CORP,2023-06-30,654106,654106103,NIKE INC,116311769000.0,1053835
https://sec.gov/Archives/edgar/data/1441689/0000950123-23-007315.txt,1441689,"17F 18F 19F STATE TOWER NAMSAN, 100 TOEGYE-RO, JUNG-GU, SEOUL, M5, 04631",Korea Investment CORP,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,184030311000.0,720247
https://sec.gov/Archives/edgar/data/1441689/0000950123-23-007315.txt,1441689,"17F 18F 19F STATE TOWER NAMSAN, 100 TOEGYE-RO, JUNG-GU, SEOUL, M5, 04631",Korea Investment CORP,2023-06-30,958102,958102105,WESTERN DIGITAL CORP.,2381663000.0,62791
https://sec.gov/Archives/edgar/data/1441888/0001441888-23-000003.txt,1441888,"1620 DODGE STREET, MS 1089, OMAHA, NE, 68197","Tributary Capital Management, LLC",2023-06-30,654106,654106103,NIKE INC CL B,430995000.0,3905
https://sec.gov/Archives/edgar/data/1442056/0001636661-23-000004.txt,1442056,"20 ALLEN AVENUE, SUITE 300, ST. LOUIS, MO, 63119",CONFLUENCE INVESTMENT MANAGEMENT LLC,2023-06-30,654106,654106103,NIKE Inc.,18778004000.0,170137
https://sec.gov/Archives/edgar/data/1442573/0001062993-23-015546.txt,1442573,"5020 MONTROSE BLVD, SUITE 400, HOUSTON, TX, 77006","HOURGLASS CAPITAL, LLC",2023-06-30,654106,654106103,NIKE INC,242814000.0,2200
https://sec.gov/Archives/edgar/data/1442641/0001821268-23-000168.txt,1442641,"111 Pine Street, Suite 1700, San Francisco, CA, 94111",Legato Capital Management LLC,2023-06-30,31428X,31428X106,FEDEX CORP,2212260000.0,8924
https://sec.gov/Archives/edgar/data/1442641/0001821268-23-000168.txt,1442641,"111 Pine Street, Suite 1700, San Francisco, CA, 94111",Legato Capital Management LLC,2023-06-30,64110D,64110D104,NETAPP INC,2991977000.0,39162
https://sec.gov/Archives/edgar/data/1442891/0001580642-23-004245.txt,1442891,"One International Place, Suite 4210, Boston, MA, 02110","EVENTIDE ASSET MANAGEMENT, LLC",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,181570772000.0,710621
https://sec.gov/Archives/edgar/data/1443077/0001062993-23-016454.txt,1443077,"2020 ROBERT-BOURASSA BLVD, SUITE 1400, MONTREAL, A8, H3A 2A5",INTACT INVESTMENT MANAGEMENT INC.,2023-06-30,64110D,64110D104,NETAPP INC,2681640000.0,35100
https://sec.gov/Archives/edgar/data/1443077/0001062993-23-016454.txt,1443077,"2020 ROBERT-BOURASSA BLVD, SUITE 1400, MONTREAL, A8, H3A 2A5",INTACT INVESTMENT MANAGEMENT INC.,2023-06-30,654106,654106103,NIKE INC,507702000.0,4600
https://sec.gov/Archives/edgar/data/1443689/0001443689-23-000011.txt,1443689,"510 Madison Avenue, 28th Floor, New York, NY, 10022",Senator Investment Group LP,2023-06-30,31428X,31428X106,FEDEX CORP,55777500000.0,225000
https://sec.gov/Archives/edgar/data/1445065/0001445065-23-000011.txt,1445065,"ONE NORTH BRENTWOOD BLVD, SUITE 850, ST. LOUIS, MO, 63105","BENJAMIN F. EDWARDS & COMPANY, INC.",2023-06-30,31428X,31428X106,FEDEX CORP,3259000.0,13145
https://sec.gov/Archives/edgar/data/1445065/0001445065-23-000011.txt,1445065,"ONE NORTH BRENTWOOD BLVD, SUITE 850, ST. LOUIS, MO, 63105","BENJAMIN F. EDWARDS & COMPANY, INC.",2023-06-30,64110D,64110D104,NETAPP INC,252000.0,3297
https://sec.gov/Archives/edgar/data/1445065/0001445065-23-000011.txt,1445065,"ONE NORTH BRENTWOOD BLVD, SUITE 850, ST. LOUIS, MO, 63105","BENJAMIN F. EDWARDS & COMPANY, INC.",2023-06-30,654106,654106103,NIKE INC,1120000.0,10151
https://sec.gov/Archives/edgar/data/1445065/0001445065-23-000011.txt,1445065,"ONE NORTH BRENTWOOD BLVD, SUITE 850, ST. LOUIS, MO, 63105","BENJAMIN F. EDWARDS & COMPANY, INC.",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,1673000.0,6546
